Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
2016-01-01,392.5,403.0,373.0,401.8,401.9,4377363,1718114977.5,,,,
2016-01-04,400.0,400.1,375.05,376.15,377.05,7822660,3129064000.0,,,-0.06183130131873593,0.9381686986812641
2016-01-05,381.05,382.45,372.1,373.0,374.45,6901068,2629651961.4,,,-0.006895637183397474,0.9316994277183379
2016-01-06,374.25,375.5,364.6,365.0,365.9,7211230,2698802827.5,,,-0.022833489117372152,0.9104254789748694
2016-01-07,356.25,358.0,338.1,344.8,343.55,11782307,4197446868.75,,,-0.06108226291336427,0.8548146305051008
2016-01-08,345.6,355.85,345.6,353.9,353.35,8770370,3031039872.0,,,0.028525687672827926,0.8791988056730531
2016-01-11,343.9,364.75,341.65,360.45,360.2,10576721,3637334351.8999996,,,0.01938587802462144,0.8962428464792237
2016-01-12,362.7,363.95,351.6,355.4,355.0,8363062,3033282587.4,,,-0.014436424208772891,0.8833043045533715
2016-01-13,360.45,369.8,356.3,363.0,364.6,14191511,5115330139.95,,,0.02704225352112677,0.9071908434934064
2016-01-14,356.1,359.4,346.8,353.8,354.3,10673343,3800777442.3,,,-0.028250137136588083,0.8815625777556606
2016-01-15,353.9,353.9,339.35,340.7,341.3,6557584,2320728977.6,,,-0.036692068868190764,0.8492162229410302
2016-01-18,341.0,343.3,334.4,340.5,340.2,6285144,2143234104.0,,,-0.003222970993261076,0.8464792236874845
2016-01-19,343.0,357.2,342.0,354.25,354.15,7304555,2505462365.0,,,0.041005291005290934,0.8811893505847226
2016-01-20,349.65,349.65,338.8,341.9,342.25,9156596,3201603791.3999996,,,-0.033601581250882306,0.8515799950236378
2016-01-21,340.65,344.15,323.0,327.6,328.55,16524035,5628912522.75,,,-0.04002921840759677,0.8174919134112965
2016-01-22,335.5,345.9,331.5,339.65,339.5,9595392,3219254016.0,,,0.033328260538730836,0.8447374968897737
2016-01-25,345.5,345.5,331.15,333.6,332.6,6106931,2109944660.5,,,-0.020324005891016128,0.8275690470266237
2016-01-27,338.0,341.0,333.2,336.9,337.05,8333202,2816622276.0,,,0.013379434756464192,0.8386414530977857
2016-01-28,336.3,341.4,332.3,333.85,334.2,13153617,4423561397.1,,,-0.008455718736092632,0.8315501368499628
2016-01-29,332.0,340.6,324.2,336.9,336.9,10350998,3436531336.0,,,0.008078994614003632,0.8382682259268477
